Turbine_ID,rotor_speed,generator_speed,power_output,blade_pitch_angle,gearbox_temp,generator_temp,vibration,oil_pressure,wind_speed,ambient_temp,humidity,time_since_maintenance,failure
WTG7,12.581602577520787,1652.0600901763212,1820.2334616407454,4.58599190488074,77.47012807466733,87.07112388774316,2.156401911186136,92.04964730028011,10.942096125385659,14.77889526316605,66.64810644754421,267,0
WTG4,15.11348336659364,1626.1761160395,1960.3753545383324,6.242688872270891,79.69029153855121,90.57193436750399,1.69829874686868,104.25052594235346,6.169624902792268,7.812329420503044,62.32455467744282,26,0
WTG8,15.226912080113104,1376.2646309960833,2324.1863626862505,3.366047908358231,61.27841016287111,87.07797847185677,1.674907142862891,122.30457330183336,9.886037001184546,16.892631123427755,42.68417166313432,265,0
WTG5,15.371675257805506,1446.7206786919553,2233.621935607865,4.85129109978136,61.522806378908314,59.191830930664935,1.686741447023287,118.69384660905118,7.503919049706783,21.866124129534835,57.466985253340646,192,0
WTG7,16.83974303190886,1585.0004267969593,2131.5518467126562,5.627770675727187,71.13655536086407,78.8324611480424,1.7692686795624863,102.01297358998139,12.760397297264102,17.934974841716368,62.11185428200175,184,0
WTG10,17.037846480179798,1560.1936237103241,2191.3658172279215,5.4641695003443855,85.0365660637617,73.80430650551833,1.7771756543308224,92.19381791652788,8.718263916798042,18.20058938298658,67.076834075842,76,0
WTG3,13.811578255236666,1495.8542037670215,2054.0517066490847,5.070185999778363,64.07290975848316,83.279695104738,0.747391243235304,102.7990110561093,15.12293090730715,32.76393826709471,54.97866254846173,335,0
WTG7,13.767713083902112,1386.2399795035765,2090.6339171889276,5.495763512338199,65.96803535243106,74.43289012195018,2.04430710327805,107.38082174943753,13.537714097769799,16.98755152580931,51.78826104614153,215,0
WTG8,12.919602578089053,1431.7459953846455,2066.3075693453143,4.389176044395711,73.2107214220452,85.91118198257264,1.8494031854520154,102.03625554838045,6.726579587168476,21.092493753712148,51.459283291118396,302,0
WTG5,16.397631340560952,1448.323243245371,1999.9816263117339,6.932795855332998,76.56780422562872,75.78881777610104,1.640778601318112,107.45084297326842,7.999599480450886,20.528762523668195,61.909587058176896,177,0
WTG4,17.89764021667543,1527.6994331119101,2226.0121651493846,3.3893821471081647,75.26967331029005,96.97683236598697,2.04651750004883,104.43888938851008,12.015803274549892,21.270085245881013,60.29648308144233,29,0
WTG8,14.369836144182154,1670.3727154697237,2108.3846318601186,6.1620707443287746,70.32293618677987,96.50070079852753,1.9972530640762667,102.84685469084796,10.167189130286586,16.958134373339586,53.047684911041046,14,0
WTG8,14.517138870550014,1431.3119765211873,1735.7854906679127,5.189494536783516,66.94481025289451,65.53262942360273,1.8011638346067744,87.83788250097533,9.160115179021815,23.83194661450448,64.46670364534677,99,0
WTG3,17.933565113797954,1397.396475244476,2158.662315656796,5.617109231364349,73.31822806652545,83.22871485764577,2.0043862803867456,98.69658114126976,10.16614063591948,25.938514236381884,62.05679658570358,52,0
WTG6,16.011115706430015,1489.1413523172057,2074.1741199137914,5.794546017583739,37.99430073436054,75.38120519502192,1.7090529758657715,119.10832911726175,9.625960442930893,20.332088487466347,54.18235633993098,101,0
WTG5,15.87247140960211,1603.1738980514058,2183.42404067453,5.5556286034632425,88.69253831068085,82.52014084443498,1.4155024859927423,104.89705775025426,13.022060126750372,25.828730344962448,54.20990703486978,305,0
WTG2,12.618166988052547,1355.3117033239296,1968.7379259154914,4.188978239441029,68.14194082609018,85.86689450149976,2.980541613686942,111.68363351149276,9.145212031743698,22.70079182915609,77.34255021522792,167,0
WTG8,16.357456138558838,1645.3634150874948,2243.5220941301473,4.7137303105112185,71.82297747862006,67.2124826655185,1.752031426560398,120.11326289013293,11.405930163360763,20.8375383873397,38.50238296238218,71,0
WTG6,13.141727318980484,1482.796863788433,1981.577434740153,3.5484103329411685,90.99379811182885,70.26394597904634,2.1327708372788337,88.20760966845826,11.39174919666274,14.82218000439435,44.697247826348814,333,0
WTG2,12.731959628130085,1426.5679997686627,2217.1639059801632,4.7015042739885775,62.58689105690314,71.50834278861866,3.2982300113782115,125.99075655579512,13.73033057721099,19.38361684949272,57.91383070281654,83,0
WTG5,14.306456846466576,1339.9810713237841,1863.0585452148466,5.322518994808442,93.32117701610186,74.48582023509634,1.7931513852654972,109.73109766484187,9.788313031472617,24.976610879557715,69.83896180327149,236,0
WTG1,13.82841455310262,1570.6520773420627,1883.8237837703143,5.607128275356703,77.39661090954029,74.7774515746545,2.230099632663421,111.62078485886104,10.470411284632874,18.063586183523455,51.31471051274353,22,0
WTG10,14.55680061122992,1482.8828804758466,2180.6157569630373,5.391434344994262,74.46539969482514,87.9676535870763,3.163345698519774,93.29876926032085,11.122212564620357,20.393473204283175,65.7893169259145,255,0
WTG6,12.118036730950163,1517.0705482754506,1900.4679818765767,3.2449102585698655,76.4389869484115,82.22491421246613,1.1750220551662438,107.24203853199225,8.05299946362671,14.621329061867224,42.368540217873544,228,0
WTG9,16.917632612935346,1409.9188258988636,2661.7348084244486,4.437826067579271,61.58515007646397,71.2884471633142,2.6669112167771027,91.98752844469686,9.525509378271858,21.857619294783063,57.43044617936474,278,0
WTG1,17.25537258903286,1468.0903965748976,2169.9334960337083,4.337750510632472,53.51043314339127,76.80373932286894,2.111062079320255,101.49621799247701,7.27437968408332,22.318169583312244,63.0057123730347,321,0
WTG10,11.105315051718371,1451.3418753645262,2007.4770458462601,3.689832066756642,58.19536318165411,56.3032834475804,1.747410069416016,103.36836481752954,12.061519006359225,31.718870728384285,68.6050014161152,356,0
WTG3,16.956915611333102,1489.9406894621793,2245.9702330276546,4.16406659889624,80.8741647395882,100.19714649831828,2.0242390308423817,97.61189271182798,14.700359508185109,21.16451422904781,66.00305756101281,204,0
WTG7,13.378942740356747,1433.044767362419,1855.795877007045,5.00127918036951,60.64428469855544,80.18069052479504,1.8190818972879228,111.50595112235577,4.27269474279248,21.509569447217356,41.16965707375222,319,0
